feature,pvalue,tstat
GYRUS RECTUS (gm)_md,0.04552717519291231,-2.0295814309062283
INSULAR (gm)_md,0.012369083570444611,-2.5559228912348346
AMYGDALA_md,0.013587745218698462,-2.5204856833370206
HIPPOCAMPUS_md,0.013415478071953613,-2.5253169848736703
MedialLemniscusLeft_md,0.02630876122756625,-2.2610690472595367
SuperiorCerebellarPeduncleLeft_md,0.022569418161132726,-2.322981160995852
CerebralPeduncleLeft_md,0.01910403625421582,-2.389069486423185
PosteriorLimbInternalCapsuleLeft_md,0.00891835689545368,-2.6767913870932314
SuperiorCoronaRadiataLeft_md,0.03605644957939177,-2.130069462543766
PosteriorCoronaRadiataLeft_md,0.040012876540636476,-2.0856063389631574
SuperiorLongitudinalFasciculusLeft_md,0.02194037378613691,-2.3342761978524402
ExternalCapsuleLeft_md,0.011823817528589447,-2.572808316281165
MiddleCerebellarPeduncleLeft_md,0.007794274678228006,-2.725521414025144
FornixLeft_md,0.03425310357218171,-2.1517555059115026
BodyCorpusCallosumLeft_md,0.027175221022534165,-2.2478374974600723
RetrolenticularInternalCapsuleLeft_md,0.02453206865384912,-2.289445343666253
CAUDATE NUCLEUS left_md,0.031455575225325036,-2.187448783322109
THALAMUS left_md,0.0036456493889454747,-2.990242848022632
MIDBRAIN left_md,0.012439275281989891,-2.553798231371438
MEDULLA left_md,0.024983281735826972,-2.282071503083065
CINGULATE GYRUS right (gm)_md,0.005765448613298568,-2.8325279065845086
INFERIOR FRONTAL GYRUS right (gm)_md,0.04800103059039181,-2.0063236266069735
PARAHIPPOCAMPAL GYRUS right (gm)_md,0.028404674877160578,-2.229684772906256
LATERAL FRONTO-ORBITAL GYRUS right   (gm)_md,0.02143486256338489,-2.3435628162788875
GYRUS RECTUS right  (gm)_md,0.005014668112846372,-2.881139483393398
INSULAR right   (gm)_md,0.028670097609603314,-2.225856510811408
AMYGDALA right_md,0.02590571117769183,-2.267354980608469
HIPPOCAMPUS right_md,0.027159140473436875,-2.248079662908834
InferiorCerebellarPeduncleRight_md,0.0008535834290813662,-3.457632072809127
MedialLemniscusRight_md,0.02450649458692338,-2.2898668523122803
PosteriorLimbInternalCapsuleRight_md,0.009335641623505093,-2.66011590638662
AnteriorCoronaRadiataRight_md,0.039877249699921326,-2.0870662282582235
CingulumRight_md,0.02873286725906015,-2.224955711016409
InferiorFronto-occipitalFasciculusRight_md,0.03039869205925616,-2.2016576751474046
ExternalCapsuleRight_md,0.038920645162340506,-2.0974867047605574
MiddleCerebellarPeduncleRight_md,0.032071729908912085,-2.179356353342368
FornixRight_md,0.009899654509621433,-2.638621179991689
GenuCorpusCallosumRight_md,0.03155521485509956,-2.1861308161060546
BodyCorpusCallosumRight_md,0.046507256464892226,-2.0202407681842978
SpleniumCorpusCallosumRight_md,0.04521125476781797,-2.032629062014336
RetrolenticularInternalCapsuleRight_md,0.045590699387551226,-2.028970815033653
CAUDATE NUCLEUS right_md,0.04918177480370207,-1.9955826508479493
THALAMUS right_md,0.00785506614836962,-2.7227271071138404
MIDBRAIN right_md,0.01378534657682411,-2.5150112228385724
MEDULLA right_md,0.029212604414397197,-2.2181274397544293
Nucleus accumbens right_md,0.00666883882344386,-2.781209925862051
OpticTractRigh_md,0.043732400476961704,-2.047143082745156
Hypothalamus C left_md,0.016576978719149368,-2.444368870719851
Hypothalamus C right_md,0.02440380600426109,-2.291563268368814
Hypothalamus D left_md,0.01556873423715428,-2.468559159950175
Hypothalamus D right_md,0.022389042607536786,-2.326191178295709
Hypothalamus F left_md,0.02123620125439699,-2.347265565528091
Hypothalamus F right_md,0.049513761831412526,-1.9926023314102776
LVL_bodyRight_md,0.024781506341824765,-2.2853543349122827
LVL_temporalRight_md,0.04232169065248903,-2.061386897814491
SLF-tLeft_md,0.01134189862455601,-2.5883276380933156
ICP-cerebellumLeft_md,0.0026108062538887818,-3.1017467355555786
ICP-cerebellumRight_md,0.00046541842759237134,-3.641214362728177
CerebellumBranch-ALeft_md,0.013484287306686679,-2.52338054823812
CINGULATE GYRUS left  (gm)_rd,0.041310294155241546,-2.07185260601605
INFERIOR FRONTAL GYRUS left (gm)_rd,0.023208002191473988,-2.311796148234197
PRECENTRAL GYRUS left (gm)_rd,0.014925297336108763,-2.4847408558701924
SUPERIOR TEMPORAL GYRUS (gm)_rd,0.026983385365670434,-2.250734694835195
INFERIOR TEMPORAL GYRUS (gm)_rd,0.011474166068893184,-2.5840097947627405
MIDDLE TEMPORAL GYRUS (gm)_rd,0.04802584512416011,-2.006095582427623
SUPRAMARGINAL GYRUS (gm)_rd,0.03562034810094628,-2.135225920929907
GYRUS RECTUS (gm)_rd,0.03481408115621707,-2.1449052944672737
INSULAR (gm)_rd,0.017317584872714235,-2.4274241535903673
AMYGDALA_rd,0.03506712895252088,-2.141846629699871
HIPPOCAMPUS_rd,0.022100514818674068,-2.3313737984036202
CorticospinalTractLeft_rd,0.02322119082133251,-2.311568025989308
InferiorCerebellarPeduncleLeft_rd,0.007922591856805232,-2.7196462752834196
MedialLemniscusLeft_rd,0.03482171489105726,-2.1448127410399245
CerebralPeduncleLeft_rd,0.0021317443246612606,-3.1681823785091003
