feature,pvalue,tstat
Hypothalamus D right_l1,0.024998947777310328,-2.3068877523187132
III and IV ventricle_l1,0.031080513238757403,2.214997878380451
PRECENTRAL GYRUS left (gm)_md,0.0025951889933619934,3.16158289416593
ANGULAR GYRUS left (gm)_md,0.04971221929391174,2.0083651247466885
SuperiorCoronaRadiataLeft_md,0.02888779265375121,2.246126799930681
FornixLeft_md,0.0011268973418122894,3.4442889611492937
BodyCorpusCallosumLeft_md,0.012007099815481318,2.601442250958967
SpleniumCorpusCallosumLeft_md,0.036636277839772434,2.1440306918855465
MIDDLE FRONTAL GYRUS right (gm)_md,0.009169102415723693,2.704820337488915
INFERIOR FRONTAL GYRUS right (gm)_md,0.017128023567963183,2.4614117969081812
PRECENTRAL GYRUS right (gm)_md,0.0002571261425763174,3.918368807684841
POSTCENTRAL GYRUS right (gm)_md,0.0026961716127652784,3.1483252703357993
MIDDLE OCCIPITAL GYRUS right   (gm)_md,0.04562312874089868,2.0470707401419785
ENTORHINAL AREA right  (gm)_md,0.020630736868672915,2.3861281862741146
INFERIOR TEMPORAL GYRUS right   (gm)_md,0.00021879031043358158,3.968506801045788
MIDDLE TEMPORAL GYRUS right   (gm)_md,0.00025469182927436823,3.9213308153388824
SUPRAMARGINAL GYRUS right  (gm)_md,0.014924262711774283,2.5162571066136348
PosteriorThalamicRadiationRight_md,0.015075768288217233,2.512259376514402
SuperiorCoronaRadiataRight_md,0.004837692426418529,2.9412489500580903
PosteriorCoronaRadiataRight_md,0.027014219377817995,2.2744290243991943
SuperiorLongitudinalFasciculusRight_md,0.035959976738404995,2.1521423375748268
BodyCorpusCallosumRight_md,0.005255330382158405,2.9112580725098494
SpleniumCorpusCallosumRight_md,0.024107883391536106,2.32198811116966
Substancia Nigra right_md,0.04835913808834035,-2.0208578739695597
OpticTractLeft_md,0.033983846652604725,2.176635918088441
Hypothalamus B left_md,0.03852585806630283,-2.1220425060793384
LVL_occipitalLeft_md,0.03327230081954332,2.1857625501194358
III and IV ventricle_md,0.01606622858026209,2.486986324640795
SLFF-tRight_md,0.035557344505801156,2.1570353079542874
PRECENTRAL GYRUS left (gm)_rd,0.0016076423277708964,3.3254370250838208
ANGULAR GYRUS left (gm)_rd,0.012688936998157811,2.579968106905638
SUPERIOR OCCIPITAL GYRUS left (gm)_rd,0.036268668110325246,2.1484234100612736
INFERIOR TEMPORAL GYRUS (gm)_rd,0.02883471883158577,2.2469058422499355
MedialLemniscusLeft_rd,0.0331996761379504,2.1867037015800506
CerebralPeduncleLeft_rd,0.03369808698849373,2.180280827078516
SuperiorCoronaRadiataLeft_rd,0.0048106325111349785,2.9432742624846493
PosteriorCoronaRadiataLeft_rd,0.014124809975504832,2.5379815809609507
FornixLeft_rd,0.001595739615828938,3.327945504541846
BodyCorpusCallosumLeft_rd,0.010149678476212634,2.666147094645298
SUPERIOR PARIETAL GYRUS right (gm)_rd,0.016155897134643507,2.484768426241254
SUPERIOR FRONTAL GYRUS right (gm)_rd,0.02246251983120628,2.3512294451991704
MIDDLE FRONTAL GYRUS right (gm)_rd,0.004435485691847642,2.972501979969073
INFERIOR FRONTAL GYRUS right (gm)_rd,0.013776513379557037,2.547797096576199
PRECENTRAL GYRUS right (gm)_rd,4.463723304783385e-05,4.448714185026342
POSTCENTRAL GYRUS right (gm)_rd,0.001182477096889922,3.4283102460745982
SUPERIOR OCCIPITAL GYRUS right  (gm)_rd,0.043072504986044736,2.0727645569533646
MIDDLE OCCIPITAL GYRUS right   (gm)_rd,0.037379690734340304,2.135264084846992
ENTORHINAL AREA right  (gm)_rd,0.011213580580207152,2.627880561974732
INFERIOR TEMPORAL GYRUS right   (gm)_rd,0.00010635792007068185,4.189224621685662
MIDDLE TEMPORAL GYRUS right   (gm)_rd,0.0006360945704498851,3.631320197272326
SUPRAMARGINAL GYRUS right  (gm)_rd,0.00878361606014643,2.7210716325758537
InferiorCerebellarPeduncleRight_rd,0.003930245273613526,3.015739133854076
MedialLemniscusRight_rd,0.005205007726545845,2.914751920438798
PosteriorThalamicRadiationRight_rd,0.020205731264043927,2.394621016454737
SuperiorCoronaRadiataRight_rd,0.000868400325465169,3.5301253437685762
PosteriorCoronaRadiataRight_rd,0.0067330039809504905,2.8204389824631595
SuperiorLongitudinalFasciculusRight_rd,0.017904788582087695,2.443593585513584
BodyCorpusCallosumRight_rd,0.0041560771732750326,2.995807992916154
SpleniumCorpusCallosumRight_rd,0.047651232152196625,2.0275145855923986
MEDULLA right_rd,0.04144895703639483,2.0898168845914786
OpticTractLeft_rd,0.018723732859984146,2.4255466942574424
Hypothalamus B left_rd,0.03292415328974417,-2.1902907903028366
LVL_atriumLeft_rd,0.03564158987857432,2.156007513643186
LVL_occipitalLeft_rd,0.0271544186504093,2.2722518542702894
III and IV ventricle_rd,0.011719504248625619,2.6108349273357754
SLFF-tRight_rd,0.013531515258510896,2.55483743279934
MIDDLE FRONTAL GYRUS left (gm)_vl,0.001047610950266935,-3.468430693760851
PRECENTRAL GYRUS left (gm)_vl,0.04617951274824164,-2.04163202414237
POSTCENTRAL GYRUS left (gm)_vl,0.00846524035293605,-2.734995571880006
CUNEUS left (gm)_vl,0.005945843065062532,-2.866216091546129
