feature,pvalue,tstat
Left-Accumbens-area,0.00026342544288722203,3.9849116074145154
Left-Caudate,0.0003918076178188546,3.853952341888838
Left-Thalamus-Proper,0.0009670214476756628,3.5492582869027767
Right-Accumbens-area,0.0001641149142179847,4.139042747018466
Right-Caudate,0.0008272303415293369,3.6026565155377543
Right-Thalamus-Proper,0.0018173669180269064,3.3298182361634314
group,0.0,-inf
G&S_cingul-Mid-Ant_x,0.033661493983765604,2.1960667060237884
G&S_cingul-Mid-Post_x,0.004404168574343915,3.0101329849060856
G_front_inf-Opercular_x,0.04515076877008961,2.0648096885876237
G_front_middle_x,0.04100672259109574,2.108355587060797
G_oc-temp_med-Lingual_x,0.021103428163345626,2.396072471751223
G_occipital_sup_x,0.02479744878988298,2.3280787229336863
G_pariet_inf-Angular_x,0.0410386765965989,2.1080053335457203
G_parietal_sup_x,0.016389619545817618,2.500517768387213
G_precuneus_x,0.0022951615937185843,3.246981003701303
G_temporal_middle_x,0.007062675310880017,2.8325772482039753
S_circular_insula_ant_x,0.04825571775827652,2.03441634290799
S_circular_insula_sup_x,0.0023379077210553783,3.24039041487224
S_collat_transv_ant_x,0.0007095753490511274,3.654805366939796
S_front_inf_x,0.041918257502845696,2.098456803823079
S_intrapariet&P_trans_x,0.03334902761017954,2.2001611659707256
S_oc-temp_lat_x,0.020565927630942723,2.406847258474949
S_oc_sup&transversal_x,0.03456720514718067,2.184385920382337
S_orbital-H_Shaped_x,0.025649948381619613,2.3136893992206167
S_postcentral_x,0.028867393049154276,2.262979476414219
S_precentral-inf-part_x,0.007731818838757852,2.7978931472226827
S_subparietal_x,0.005659420446245719,2.9165387212600815
S_temporal_sup_x,0.02257644683273282,2.3677650778948474
G&S_cingul-Mid-Post_y,0.00657695582175164,2.859723924762077
G&S_subcentral_y,0.04913471420202036,2.0261218095113462
G_front_inf-Opercular_y,0.0014418337742085137,3.411048329239844
G_pariet_inf-Angular_y,0.005104031424166185,2.9552706574371084
G_parietal_sup_y,0.005219854376822163,2.9468785378273843
G_precuneus_y,0.00038305989519939865,3.8614444571326145
G_temporal_inf_y,0.016489982570217675,2.4980240624576537
G_temporal_middle_y,0.032103350713023365,2.216829779173956
Lat_Fis-ant-Vertical_y,0.01009268383561998,2.6944497866596495
Lat_Fis-post_y,0.01458921636628263,2.5477921404343773
S_cingul-Marginalis_y,0.0024486046312791193,3.2238401301289925
S_circular_insula_sup_y,0.007684503465908565,2.8002522221115638
S_interm_prim-Jensen_y,0.016781334285647875,2.4908623210384317
S_oc-temp_lat_y,0.01702926005890285,2.484856530041341
S_orbital-H_Shaped_y,0.026714681785744997,2.296307793540864
S_precentral-inf-part_y,0.049412260347707744,2.023529580265425
S_subparietal_y,0.039133505695786344,2.129319522174499
S_temporal_sup_y,0.02718812399703731,2.2887772949757776
