feature,pvalue,tstat
SuperiorCoronaRadiataLeft_l1,0.026890894257675872,-2.2999052464969783
CingulumLeft_l1,0.008569217559547253,-2.7686592974541218
SuperiorLongitudinalFasciculusLeft_l1,0.045692244625484074,-2.0642350700695977
GenuCorpusCallosumLeft_l1,0.012383246629860461,-2.622640151685614
CAUDATE NUCLEUS left_l1,0.004670850179253621,-3.001263142835336
THALAMUS left_l1,0.026175018034257494,-2.3115374042037837
CINGULATE GYRUS right (gm)_l1,0.0027799281945666086,-3.1934992788380887
SUPERIOR FRONTAL GYRUS right (gm)_l1,0.004837782927651381,-2.988047149946238
MIDDLE FRONTAL GYRUS right (gm)_l1,0.0007694722825777084,-3.649091623541405
INFERIOR FRONTAL GYRUS right (gm)_l1,0.007472635622503792,-2.8219685597617836
ANGULAR GYRUS right  (gm)_l1,0.047084607941369136,-2.050446116738949
PRE-CUNEUS right  (gm)_l1,0.0132503035430819,-2.595341409784932
SUPERIOR OCCIPITAL GYRUS right  (gm)_l1,0.006339449576930457,-2.8853370012602055
MIDDLE TEMPORAL GYRUS right   (gm)_l1,0.034096620003504385,-2.1961116560834446
LATERAL FRONTO-ORBITAL GYRUS right   (gm)_l1,0.03221481932337039,-2.221175316648761
MIDDLE FRONTO-ORBITAL GYRUS right   (gm)_l1,0.004323141925847618,-3.030280323937723
GYRUS RECTUS right  (gm)_l1,0.0017808983566897935,-3.354375016199687
HIPPOCAMPUS right_l1,0.04191196051967564,-2.103619316958075
SuperiorCerebellarPeduncleRight_l1,0.03872115885196028,2.1393724363132907
AnteriorCoronaRadiataRight_l1,0.005897462603309979,-2.912967197251049
CingulumRight_l1,0.011100448265243654,-2.666442253396262
TapatumRight_l1,0.03805220579342082,-2.1471961283163568
CAUDATE NUCLEUS right_l1,0.006935731657197409,-2.8507852972916403
THALAMUS right_l1,0.015481236720932049,-2.5319908167011405
Hypothalamus C left_l1,0.029642199282190997,-2.257637861724082
Hypothalamus D right_l1,0.013616305790010606,-2.5843078416587506
Hypothalamus F right_l1,0.0011646714529402595,-3.504777182866979
SUPERIOR PARIETAL GYRUS left  (gm)_md,0.004822754222603168,-2.98921926676987
CINGULATE GYRUS left  (gm)_md,0.0004055095676746387,-3.8679900084373315
SUPERIOR FRONTAL GYRUS left (gm)_md,0.0021058793020724328,-3.294226166078178
MIDDLE FRONTAL GYRUS left (gm)_md,7.878240216792169e-05,-4.410504986563304
INFERIOR FRONTAL GYRUS left (gm)_md,0.0002343866700756737,-4.051944183104281
PRECENTRAL GYRUS left (gm)_md,0.012460019913375833,-2.620153232677456
POSTCENTRAL GYRUS left (gm)_md,0.01886454274800083,-2.4502836848879554
